Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2012:Q4,RemainingTop1,12082783,12582329,1941925,331876,3660124,874139,778943,1793601,3201721,499546,340023,45522,114001
2012:Q4,Next9,26751358,29257326,5666875,1001462,5205576,6044166,2854277,2618308,5866662,2505968,2079520,227750,198698
2012:Q4,Next40,20628985,25932285,7750221,1936266,1991711,5778667,2718606,1208508,4548306,5303300,4230133,959997,113170
2012:Q4,Bottom50,476053,5137581,2508690,1114018,105687,226141,326721,131965,724359,4661528,2813611,1665599,182318
2013:Q1,TopPt1,8499342,8578816,685909,363290,3516830,59153,103776,1759960,2089898,79474,35545,12273,31656
2013:Q1,RemainingTop1,12568154,13078560,2008602,337206,4069409,903840,809198,1787192,3163113,510406,351815,41740,116851
2013:Q1,Next9,27831347,30290948,5821192,993023,5807904,6235923,2970836,2674332,5787738,2459601,2028402,221926,209273
2013:Q1,Next40,21328526,26611400,7940603,1937890,2183896,5940831,2893387,1204221,4510572,5282874,4224671,945646,112557
2013:Q1,Bottom50,461228,5156438,2486269,1121682,123651,233280,338744,125711,727101,4695210,2812465,1692189,190556
2013:Q2,TopPt1,8617167,8693130,714519,367489,3586319,45002,104123,1910458,1965220,75963,33176,12434,30353
2013:Q2,RemainingTop1,12641702,13151996,2070887,344445,4101348,922989,815677,1836210,3060440,510294,351604,38842,119848
2013:Q2,Next9,28252831,30734309,5974288,993124,5877046,6422692,2961486,2827613,5678060,2481477,2034677,229006,217794
2013:Q2,Next40,21682741,26999874,8130497,1930102,2226604,6085558,2954346,1228558,4444209,5317132,4242172,963808,111152
2013:Q2,Bottom50,556204,5223727,2549486,1121661,124242,241860,337353,119629,729495,4667523,2752969,1716102,198452
2013:Q3,TopPt1,8978398,9050318,734929,362322,3817847,30613,106261,2054265,1944081,71920,31111,12732,28077
2013:Q3,RemainingTop1,13015345,13522803,2139477,353653,4290855,943775,841847,1878831,3074366,507458,352200,35827,119431
2013:Q3,Next9,29084311,31588617,6077031,1003960,6168709,6623720,3063811,2972321,5679065,2504306,2050634,236329,217343
2013:Q3,Next40,22343397,27706958,8378481,1924906,2331279,6240342,3115839,1248892,4467219,5363561,4276241,985596,101724
2013:Q3,Bottom50,663738,5326849,2623150,1121621,132148,250912,346789,113110,739120,4663112,2709020,1759812,194280
2013:Q4,TopPt1,9292596,9368306,748930,369115,4085655,33850,116500,2101050,1913207,75710,31865,13277,30568
