quarter,wealth_group,housing_wealth_million_usd,financial_wealth_million_usd,liquid_assets_million_usd
2012Q1,bottom50,2467826.0,1507217.0,352943.0
2012Q1,middle40,7488932.0,15671306.0,2730914.0
2012Q1,top10,7980149.0,38537653.0,5620201.0
2012Q2,bottom50,2516705.0,1486127.0,353605.0
2012Q2,middle40,7537365.0,15683137.0,2720773.0
2012Q2,top10,8067931.0,38384330.0,5578395.0
2012Q3,bottom50,2524253.0,1503037.0,356848.0
2012Q3,middle40,7656047.0,16033427.0,2734432.0
2012Q3,top10,8179483.0,39565309.0,5625083.0
2012Q4,bottom50,2508690.0,1514873.0,373991.0
2012Q4,middle40,7750221.0,16245798.0,2835865.0
2012Q4,top10,8274966.0,40008030.0,5845751.0
2013Q1,bottom50,2486269.0,1548487.0,378038.0
2013Q1,middle40,7940603.0,16732907.0,2843274.0
2013Q1,top10,8515703.0,41739102.0,5815224.0
2013Q2,bottom50,2549486.0,1552579.0,383001.0
2013Q2,middle40,8130497.0,16939275.0,2859243.0
2013Q2,top10,8759694.0,42114683.0,5819402.0
2013Q3,bottom50,2623150.0,1582079.0,391207.0
2013Q3,middle40,8378481.0,17403571.0,2899541.0
2013Q3,top10,8951437.0,43490367.0,5895660.0
2013Q4,bottom50,2609117.0,1615642.0,392208.0
2013Q4,middle40,8574006.0,17779680.0,2908329.0
2013Q4,top10,9104663.0,45005932.0,5976437.0
2014Q1,bottom50,2586877.0,1633189.0,401119.0
2014Q1,middle40,8701490.0,17964185.0,2962831.0
2014Q1,top10,9292689.0,46194447.0,6123222.0
2014Q2,bottom50,2634510.0,1650254.0,400750.0
2014Q2,middle40,8872118.0,18183167.0,2956562.0
2014Q2,top10,9499693.0,47630765.0,6138849.0
2014Q3,bottom50,2628507.0,1640170.0,403856.0
2014Q3,middle40,9066463.0,18168361.0,2979625.0
2014Q3,top10,9700732.0,47814310.0,6249881.0
2014Q4,bottom50,2588416.0,1650721.0,406315.0
2014Q4,middle40,9201616.0,18313121.0,2998572.0
2014Q4,top10,9855686.0,48874138.0,6350733.0
